Date,Open,High,Low,Close,Adj Close,Volume
2022-08-19,26441.730469,26487.869141,25567.099609,151783.08,25598.740234,438200000
2022-08-20,25518.390625,25683.640625,24899.769531,139933.16,25052.830078,522880000
2022-08-21,25407.630859,25467.550781,25000.830078,150687.63,25339.990234,397510000
2022-08-22,25332.460938,25482.419922,25243.880859,131713.49,25250.550781,287320000
2022-08-23,25351.529297,25817.679688,25351.529297,154556.13,25798.419922,305800000
2022-08-24,25705.869141,25810.089844,25479.160156,144038.97,25706.679688,298210000
2022-08-25,25645.560547,25691.460938,25236.009766,162662.14,25379.449219,328020000
2022-08-26,25421.089844,25608.710938,25350.019531,160263.61,25444.339844,350810000
2022-08-27,25492.140625,25561.339844,25236.050781,123087.78,25317.410156,314940000
2022-08-28,25038.460938,25307.699219,24768.789063,163956.48,25191.429688,436430000
2022-08-29,25172.880859,25306.230469,24533.189453,150333.22,24583.419922,496400000
2022-08-30,24736.539063,25104.289063,24645.560547,151794.55,24984.550781,439670000
2022-08-31,24770.250000,24916.160156,24445.189453,175063.74,24688.310547,505310000
2022-09-01,24818.980469,25040.580078,24122.230469,131704.9,24442.919922,443850000
2022-09-02,24482.039063,24906.679688,24415.689453,130916.71,24874.640625,470050000
2022-09-03,25008.820313,25336.550781,25008.820313,127767.04,25115.759766,448930000
2022-09-04,25142.080078,25396.470703,25108.109375,148114.53,25380.740234,383970000
2022-09-05,25443.599609,25578.980469,25078.720703,188855.15,25270.830078,429480000
2022-09-06,25261.470703,25507.349609,25261.470703,148925.01,25461.699219,334740000
2022-09-07,25452.830078,25651.859375,25444.900391,117407.89,25635.009766,265450000
2022-09-08,25788.460938,26200.140625,25765.880859,109581.95,26180.300781,361780000
2022-09-09,26139.589844,26277.820313,26081.900391,130031.69,26191.220703,295650000
2022-09-10,26149.109375,26161.490234,25882.910156,158469.29,25989.300781,324450000
2022-09-11,25959.330078,25966.710938,25340.509766,179993.73,25387.179688,346910000
